Month,Product,Units Sold,Revenue
January,Smartphone,1000,50000
January,Laptop,500,100000
January,Tablet,300,45000
January,Smart TV,200,25000
January,Headphones,800,32000
January,Wireless Speaker,600,36000
January,Smartwatch,400,24000
January,Monitor,700,42000
January,Printer,250,20000
January,Router,350,21000
January,External Hard Drive,150,12000
January,Mouse,450,9000
January,Keyboard,550,11000
January,Graphics Card,180,27000
January,Processor,400,40000
January,RAM,300,24000
January,SSD,200,20000
January,VR Headset,100,25000
January,Action Camera,300,15000
January,Drone,150,30000
January,Game Console,250,37500
January,Smart Home Hub,200,40000
January,Wireless Earbuds,400,20000
January,Projector,100,10000
January,Power Bank,800,24000
January,Car Charger,500,15000
January,USB Cable,700,7000
January,HDMI Cable,300,4500
January,Bluetooth Adapter,200,6000
January,Laser Printer,150,22500
January,Gaming Mouse,400,20000
January,Mechanical Keyboard,250,17500
January,Webcam,300,13500
January,Microphone,200,10000
January,Network Switch,150,15000
January,Wi-Fi Extender,100,5000
January,Smart Thermostat,300,22500
January,Surge Protector,250,15000
January,Battery Charger,200,10000
January,SD Card,150,3000
January,USB Flash Drive,250,5000
January,Compact Camera,200,10000
January,Wireless Mouse,100,6000
January,Power Strip,300,4500
January,Graphics Tablet,150,7500
January,Ink Cartridges,250,12500
January,Laptop Stand,100,5000
January,Portable Scanner,150,7500
January,Screen Cleaner,200,3000
February,Smartphone,1100,55000
February,Laptop,550,110000
February,Tablet,330,49500
February,Smart TV,220,27500
February,Headphones,880,35200
February,Wireless Speaker,660,39600
February,Smartwatch,440,26400
February,Monitor,770,46200
February,Printer,275,22000
February,Router,385,23100
February,External Hard Drive,165,13200
February,Mouse,495,9900
February,Keyboard,605,12100
February,Graphics Card,198,29700
February,Processor,440,44000
February,RAM,330,26400
February,SSD,220,22000
February,VR Headset,110,27500
February,Action Camera,330,16500
February,Drone,165,33000
February,Game Console,275,41250
February,Smart Home Hub,220,44000
February,Wireless Earbuds,440,22000
February,Projector,110,11000
February,Power Bank,880,26400
February,Car Charger,550,16500
February,USB Cable,770,7700
February,HDMI Cable,330,4950
February,Bluetooth Adapter,220,6600
February,Laser Printer,165,24750
February,Gaming Mouse,440,22000
February,Mechanical Keyboard,275,19250
February,Webcam,330,14850
February,Microphone,220,11000
February,Network Switch,165,16500
February,Wi-Fi Extender,110,5500
February,Smart Thermostat,330,24750
February,Surge Protector,275,16500
February,Battery Charger,220,11000
February,SD Card,165,3300
February,USB Flash Drive,275,5500
February,Compact Camera,220,11000
February,Wireless Mouse,110,6600
February,Power Strip,330,4950
February,Graphics Tablet,165,8250
February,Ink Cartridges,275,13750
February,Laptop Stand,110,5500
February,Portable Scanner,165,8250
February,Screen Cleaner,220,3300
March,Smartphone,1200,60000
March,Laptop,600,120000
March,Tablet,360,54000
March,Smart TV,240,30000
March,Headphones,960,38400
March,Wireless Speaker,720,43200
March,Smartwatch,480,28800
March,Monitor,840,50400
March,Printer,300,24000
March,Router,420,25200
March,External Hard Drive,180,14400
March,Mouse,540,10800
March,Keyboard,660,13200
